origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Cyprus,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,   98,,,,,,,,,   944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,   13,,,,,,,,  9 195,,,,   103,   13,   387,   62,,   18,   479,   4,,,   111,,,   42,   1,   20,,   2,   3,   70,   355,  76 295,,,,,,  45 588,,   42,   21,,   5,,   21,,   149,,   178,   63,  1 073,   328,,   3,,   124,   204,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,   103,   9,,   8,,,,,,,,,,   14,,  4 111,,,  10 060,  24 036,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   250,,,,,,,,   112,   953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,,,,,,,,,,,,,,,,,,   168,,,,   18,,,,,,,,   274,,,   83,   162,,   68,  8 798,   519,   829,  13 710,  26 268,,,   189,,,   260,   43,   265,,   48,   66,   148,   252,  8 523,,,,0,,  2 296,,   937,   10,,   37,,   63,   396,   685,   54,  30 293,   283,  11 542,  27 873,   9,   76,,  3 382,  9 776,,,,,,,,,   406,,,   12,,,,,,,,,,,,,,,,,,,,   348,,   16,  3 946,   129,  1 535,0,   122,   105,,,,,   64,,,   332,,  15 799,,,  87 020,  17 760,   195,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,   52,,,,,,,,,,,   50,,,   117,,,,,,,,   149,   137,,,,,,,,,,,,,,,,,   7,,  19 805,   800,   238,,,,,,,,   51,,,   20,,,,,  1 321,,0,,   56,,,,,,,,,,,,,   8,   438,,,   40,,,,,,,,   7,,,   97,   1,   21,,,,,  9 699,,,,   163,,,   3,,   25,,   204,,   26,   44,0,,,,,,   541,,   1,,,   1,,,,   17,,  1 550,   391,   99,  1 277,,,,   2,   106,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,   48,   336,,,   31,   122,,   371,   99,   162,,,,,   61,,,   41,,   106,,,,   50,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,  36 654,,,   407,   48,   394,,  1 338,,,   186,,  62 526,,,0,  67 995,  19 354,  27 297,,  12 178,,  13 173,   98,  67 316,,,  2 750,,,   99,   283,,  15 855,,,   526,,  4 707,  7 456,   6,,,,,,   16,,,,,   31,,,,,,   277,,,,,,,,,,,,,,,,,,,   1,,0,,,,,,,,,,,,,,,   170,,,,,,,,,,,,   7,,,,   3,   8,   11,,,,,,,,   70,,,   10,   1,   10,,,,   32,   784,  1 195,,,,,,   657,,   205,,,   472,,,,   621,,   386,  10 944,  32 512,  4 459,,   94,,  2 252,   805,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,   12,   21,,,   5,,   13,,,,,,,,,,,,  1 588,,,  3 387,   255,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,   176,,,,,,   1,,,,,,,,   279,   796,,,,,   102,,   168,   977,,,,,,,,,,,,,,,,,,,,,   199,,,,,,,   450,,,,,,,,,   182,,   429,,,,,   18,,,,,,,,,,   42,,,  1 040,   49,,,,,,,,   814,,,   130,   10,   32,   42,   998,,   51,  2 445,   6,,,,   25,  3 173,   559,  2 048,   394,,   35,   100,  21 160,  30 009,  13 911,,   84,,   44,,  1 836,,  4 729,   12,,   276,,   11,   14,  3 729,,   782,  2 320,  6 772,  16 667,   16,  1 263,,  2 095,  3 655,,,,   8,,,,   6,,,,   70,,,,,,,,,,,,,,,,   48,,,,   255,   55,   19,   540,   21,   525,   170,   77,   61,,,,,   173,,,   128,   23,  20 678,  8 663,,  34 999,  9 739,   781,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,   904,,,,,,,,,,,,,,,,,,,,,,,,,,   243,   694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,   1,   1,,,,,,,,,   14,,,0,0,0,,,,   6,   44,   33,,,,,,   3,,   2,,,,,,,   1,,   4,   49,  3 050,,,,,   48,   38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,   111,,,,   34,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,   4,,,0,0,0,,,,,   36,   941,,,,,,   410,,0,,,,,,,   359,,   28,   26,   744,,,   112,,   33,   66,,  2 442,   143,   35,   451,  1 820,   619,,,,,   24,   42,  5 560,,   107,   184,   412,  2 567,   87,   96,   75,0,,,  3 219,,   3,,,,,,   12,   9,   6,,   8,   46,,,   443,   13,,,,,   200,,  1 449,,,  19 529,   6,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   5,   1,0,   4,,0,,,,,   35,,,   10,   2,   2,,0,,   53,   192,   72,,,,,,   218,,  9 060,,,   10,,,   3,  15 160,,  1 722,   592,   454,  1 012,0,   35,,  2 403,  4 751,   308,   621,  2 042,   44,,  8 195,   748,   21,   267,,,,,  3 440,  2 406,,   16,   37,  37 207,,   20,,0,,   349,   533,,   553,   38,   59,   103,   522,   65,  1 474,   265,   44,   277,   124,   361,   118,,,,,   128,,,  18 280,   9,  2 668,,,  347 858,   23,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   105,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,   1,   10,   22,   43,,,   336,   1,,,   159,,,   24,   7,   8,,0,,   177,   746,   423,,,,,,   51,,   997,,,   65,,,,  3 734,,   364,   959,  1 585,  1 252,,,,   439,  1 470,,,,   10,,,,,   135,,,   950,,,,,,,   573,,,,,,,,,   736,   155,   120,   348,   719,   98,  1 414,   999,   299,   614,  2 163,  11 870,,,,,,  2 855,,,  24 600,,  7 685,,,  143 314,  1 085,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,0,,,   235,,,,   67,,,,,,,,,  8 384,  1 271,  21 455,   607,,,,   257,   837,,,,,,,   21,,,,,   202,,,,,,,,,,,,,,,,   368,,,,,,,,,   33,,0,,,,,,,,   15,,,   1,,,  21 908,  1 290,,  11 075,  21 780,  171 413,  135 880,  78 308,  18 811,   250,  357 540,  17 920,,  2 318,  165 980,  8 579,,   30,   39,   251,   289,,   7,  1 499,   9,,,   869,,,   209,   8,   102,,   5,   3,   290,  1 638,  22 368,,,,0,,  12 485,,  40 045,   255,,   30,,   9,   14,  1 040,  1 969,  8 202,   630,  22 453,  10 932,,   25,,  4 725,  3 959,,   12,,   9,,,,,,,,,,,,,,,   69,,,,,,,,,   19,,   22,,   197,,   21,   522,   39,  4 192,   84,   179,   28,,,,,   13,,,   472,,  26 881,,,  66 313,  40 628,   234,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   160,   458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   1,   3,   12,,,,,,,,   25,,,   4,0,   5,,,,   54,  1 832,   81,,,,,,   18,,   724,,,   6,,,,  1 195,,   38,   68,   999,   524,,,,   134,   369,,,,   5,,,,,,,,   366,,,,   130,,,   519,,,,,,,,  6 691,  56 257,,  236 655,  114 810,  301 106,  12 443,  2 396,   182,   57,   405,   226,   297,   174,,,,,   76,,,  1 017,,  27 145,,,  465 433,  8 774,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,   485,,,  26 839,   305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,   29,,,,,,,0,   1,0,,,,,   8,   6,,,,,,   2,,   6,,,   16,,,,  6 040,,   6,   989,   144,,,,,   9,   23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,   10,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,  69 681,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,   358,  1 023,,  64 790,,,,,,   521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   508,   1,,   359,,   139,  3 148,,,   639,,,,,  3 846,0,,   1,   1,0,   3,,,,,,,   73,,,0,0,   7,,0,,   19,  2 399,   914,,,,,,   137,,   779,   10,,,,,,   6,,   57,   15,   160,  2 815,,,,   155,   995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,   25,,  4 630,,,  11 131,  1 272,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   14,,,,,,,,,   68,,,,,,,,,,,,,,,,,,,   358,  1 544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   662,,   7,   846,,,,,,,,,,,   27,,,  3 429,   4,   15,   39,   402,,,  62 441,   3,  10 585,,   7,,,0,0,   190,,  1 675,  1 514,   23,  8 056,   545,,,,0,,   146,,   31,,,   66,,,0,   18,,   206,   79,   828,  1 467,   13,   18,,   83,   195,,,,0,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,   109,0,,   26,   19,,,,,,   11,,,   46,,  6 170,,,  9 210,  2 731,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,  13 405,  1 284,,  26 695,,,,,,,,,  460 000,0,   168,,,,,,,,,,,,,,   567,  1 618,,  942 295,,,,,   312,  2 873,0,,,,,,   16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,   357,   20,,,  40 595,   21,  2 216,,,   908,  61 017,,,   23,  2 708,  15 804,   11,   26,   19,   31,   68,,,   438,   5,,,   559,,,   203,   13,   29,,,,  1 681,  9 356,  1 086,,,,,,  3 422,,  16 703,   25,,   3,,,,   118,,   703,   989,  3 850,  19 612,,,,  3 852,  1 595,,   1,,,,,,,,,,,,,,,,,,,   2,,,,,,,   2,,,,,   36,,   71,   4,,   14,,,,,,,,,,   29,,  13 765,,,  34 805,  1 336,   153,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  6 430,,,,   237,   1,,,,   527,,   38,,,,,,   3,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,   265,,,   17,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,   158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,   18,,,,,,,,,,   24,,,,   78,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 385,,,,,,,,,   1,,,,,,,,,,,,,,,,0,   2,,,,,,,,,   13,,,   5,0,   3,,,,   12,   28,   483,,,,,,   11,,   3,,,,,,,   3,,   10,   5,   93,,,,,   6,   133,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,   1,0,,   5,,,,,,,,,,,,  15 352,,,  15 935,  37 472,  16 418,,,   128,   220,   166,,   221,   43,,   221,,,   50,   78,   27,   24,   68,,   369,   114,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   189,   538,,,,,,,   116,   576,,,,,,,,,,,,,,,,,,,,   361,,,,,,,,   432,   20,,,,,,,,   9,,,,,,,,,,,,,0,,,,   123,,,   529,,,,,,,,,   404,,,  1 185,   10,   82,   92,   272,,,  1 737,   4,,,  3 180,   651,,,   75,   75,,  1 199,   74,  4 257,  153 578,  5 179,,,,0,,  1 528,,   462,   8,,   91,,   3,   2,  2 803,,   880,   505,  4 412,  11 251,   1,   243,,  1 130,  3 408,,,,,,,,   3,,,,   45,,,,,,,,,,,,,,,,   18,,,,   35,,   7,   156,   75,   169,   99,   56,   43,,,,,   50,,,   64,,  16 148,   17,,  22 313,  9 718,,,,,,,,,,,,,,,,,,,,,,
France,   321,   543,,   108,,,  6 672,,   788,  1 359,,  37 516,,   180,,,   250,,   65,,,  11 808,  10 537,   886,  8 574,,  1 154,  4 961,,  2 086,  3 089,  8 821,  15 056,,  3 870,   140,,,   793,  5 608,,   506,,   102,,,   117,  1 642,   71,   296,  2 689,,,,,  11 453,,  1 816,,,,,,,  1 470,,,  3 167,   11,   507,,   128,,,,,   197,,  1 349,,   21,,,   14,  5 858,,   51,,,   50,,,   57,   228,,,  17 904,   295,   355,   135,   200,   102,,,,  10 280,   434,,,   63,   891,  1 793,  49 150,,   427,  1 474,   484,,   840,  2 451,   42,,   538,   135,  1 917,,   26,   215,  2 433,  4 401,  52 367,,  4 135,   259,   831,,  10 626,,  66 902,   97,,  58 434,   32,   10,  1 408,  100 111,,  4 939,  90 212,,  89 386,   66,  14 367,  7 679,  13 064,  87 249,,   32,,   38,,   58,   12,   12,   328,,   29,  2 524,,  31 775,   445,,  29 695,,   278,,   31,,0,,,,,   539,   200,   294,   109,  4 190,   139,   260,  6 463,   491,  8 096,  2 147,  1 905,   686,,  15 361,,   491,  1 651,,   865,  4 664,   106,  52 932,   11,   668,  119 233,  15 533,   881,,  19 351,,,   244,,,,,,,,,,  17 851,,   8,,,,   327
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,,,,,,   4,,,,   2,,,,,   8,,,   732,,,  1 101,,,,   127,,,,,,,   6,,   13,,,,,,0,   742,   2,,,,,,,   24,,,   26,,   48,,,,   6,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,0,,0,,,,,,   13,,,,,,   17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   18,,,,,,,,,,,,   53,,,,   236,,,  2 726,,,,,,,,,,,,   63,,,,,,,   18
Gabon,,,,,,,,,,,,,,,,,,,,,,,,   292,   970,,   65,,   11,,,,,,,,,,,   306,,,,   11,,,,,,,  4 463,   77,,,,,,   430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,0,0,,,,,,,,   5,,,0,,   1,,,,,   3,   17,,,,,,   18,,   14,,,   21,,,,   22,,   14,   164,  7 939,   123,,,,   35,   136,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,   4,,   5,,,,,,,,,,,,   38,,,,   20,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   36,,,,,,,,   128,,,,,   7,  10 359,,   19,   811,   960,   656,   595,,,,,  4 263,  5 240,   510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,   2,0,,,,,,,,   236,,,   22,   2,   11,,0,,   570,  1 965,  1 354,,,,,,   59,,   84,,,   7,,,,  2 779,,   346,   92,  1 329,  1 908,,,,   112,   157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   11,,,,,,,,,,   14,,,  1 485,   18,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 773,  10 351,   872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 646,  69 766,,  3 802,,,  25 921,,,,,,,,,  1 575,,,  9 868,   77,   88,   186,   460,  3 550,0,  656 888,   11,  76 612,,   72,  2 196,,0,   2,   49,,   697,  2 036,0,   103,   76,,,,,,  36 031,,   11,   12,,   40,,   5,,   102,,  1 827,  1 171,  1 337,  1 410,,,,   32,   293,,,,,,,,,,,,,,,,,,,,,,,,,,,,   10,,,,,,0,,0,,   16,,,,,,,,,,   12,,   749,,,  6 689,   17,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,   57,,,,,   40,,,   234,   605,   311,,,,,,   178,,,   27,,  6 544,  9 692,  27 674,   984,,   903,,   332,,  13 401,  33 946,,,,   25,,,,   849,,   928,,,,,,   721,   135,   75,  380 407,  15 254,   205,  1 567,  19 362,,  1 323,,,  3 607,   50,   645,,   18,,,,,   704,,  2 551,,,,,   12,  5 654,,   251,,,   21,   660,   389,,   646,  8 348,,  26 628,   413,,   189,,,,,,  176 820,,,   32,   252,  2 375,  18 409,  144 229,   427,  1 783,  144 895,   255,  1 308,,  22 533,   461,   27,  2 586,   803,  3 341,,  1 913,  1 833,  8 821,  29 981,  213 058,,   347,   816,  5 148,,  26 527,,  96 165,   323,,  16 069,,   31,  8 402,  80 772,   43,  100 832,  26 386,  171 594,,   978,  12 616,,  127 898,  161 440,,   45,,   161,,,   29,   43,   752,,   11,  5 084,,   125,   896,,,,  2 231,,   31,,,   137,,,   45,  1 268,   464,   476,   223,  4 560,   374,   284,  15 674,  1 351,  25 679,  5 379,  2 679,  1 397,,,,  2 108,  2 092,,  2 573,  4 895,   228,  173 222,   34,,  711 929,  126 452,  5 298,,,,,,,,,,,,,,,   319,,   35,,,,
Ghana,,,,,,,,,,,,,,,,,,,   484,,,,,,,,,  1 965,,,   214,   610,,,,,,   122,   212,  6 486,,  5 747,  24 542,   55,  99 487,,,  1 337,,  9 952,  1 913,   186,  4 184,  75 322,,  1 476,  1 307,  12 685,,,,,,,,,,   598,,,,,,,,,   8,,,,,,,,,,,,,,,,,   21,,,,   44,,,,,,,,   34,,,,   4,   10,   44,   65,,0,   286,   1,,,   391,,   1,   74,   10,   97,,,,   736,   770,  31 872,,,,,,   633,,  25 093,   6,,   15,,   3,   5,   436,,  1 363,  1 457,  5 576,  20 822,,,,  6 020,  1 464,,   10,,   23,,,,,,,,,,,,,,,,,   10,,,,,,,   1,,,,,,,,   1,,   5,,   13,,,,,,,,   28,   17,  6 404,,,  20 889,   994,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,,   26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,   7,,,,,,  11 215,,,,,,   12,,,,,,,,,,,,,   63,,,,,   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   32,0,,   5,,,,,,,,,,,,   201,,,,   409,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,   41,,,,,,,,,,,,,,  1 306,  3 730,,,,,,,,  3 191,,,,,,,,,,,,,,,,,,,  18 571,,,,,,,,,,,,,,,,,,   19,,,,,,,,,,,,,   1,  5 612,,,  5 898,,,  1 320,   117,,,,,,,,  101 752,,,   164,  1 246,   445,  1 601,  3 964,   38,  4 380,  1 997,   9,,,   738,,,   320,   5,   104,,   326,   10,   475,  8 526,  14 266,  40 087,,,0,,,,  19 876,   11,,   42,,   112,   45,   639,   235,  2 205,  20 270,  13 918,  337 546,   86,   636,,  5 206,  5 583,,,,   72,,,,,,,,   94,,,,,,,,,,,,,,,,   28,,,,   255,,   235,  3 197,   15,  3 523,   188,   146,   24,,,,,   41,,,  1 092,   100,  80 288,,,  177 398,  148 090,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,  8 672,,   137,,   35,0,,0,,   123,,   9,,,,,,   8,,,,,,,,,,,,,   12,,,,,,,,,,,,,,,   195,,,,,,,,,,,,,,,,,,,   7,,   269,,,,,   36,,,   6,,,,,,,,,,,,   14,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   1,,,,,,,,   3,,,0,,   3,,,,,   31,  1 366,,,,,,   2,,   1,,,,,,,,,   8,,,,,,,   14,   35,,   115,   294,   28,   565,   5,,   5,   180,,,,,,,   161,,,,   24,   67,   377,,  16 589,,   463,,   7,,,,,,   21,   25,   1,,   7,,,,,   54,,,,,   436,,  4 543,,,  17 730,   89,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   11,,,,,,,,,,,,,,   8,,,,,,,,,,,,,,,,,   20,,,,,,,,,,,,,,,,,,,,,   46,,,,   61,,,,,   14,   97,,,,,  3 327,,,,   19,,0,,,,,,,,,,,,,,,   2,,,,  2 089,,,,,,,,   125,,,,   9,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,   1,,,,,,,,,,,,   24,,,,   40,,,,,,,,,,   55,,  1 062,   152,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,,   90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,   1,   2,   6,,,,,,,,   22,,,   16,   14,   24,,0,,   208,   517,   69,,,,,,   41,,   108,,,   7,,,,   975,,   206,  1 008,  1 614,   583,,,,   165,   472,,,,   7,,,,,   153,,,   475,,,,   295,,,   487,,   2,,,,,,  12 650,  1 977,  8 235,,  3 250,  72 343,  1 134,   376,   116,   146,   53,   143,   264,   144,,,,,   115,,,   579,,  8 559,,,  225 739,   217,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,   131,,,,,,,  1 537,,,   182,,   673,,,   495,,,   79,   78,,,,   60,  133 914,  24 859,   74,,  3 170,  32 485,  19 164,  2 748,,,,  42 570,  74 269,  1 553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,   4,   6,   15,   17,,   1,   429,,,,   21,,,   6,   3,   10,,,,   29,   88,   36,,,,,,   11,,   103,,,   86,,,,  2 316,,   166,   627,  7 816,   697,,,,   392,   375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   4,,0,,,,,,,,,,,,   225,,,  1 032,   33,,,,,,,,,,,,,,,,,,,,,,
